"VMName","Status","Message"
"HOU-U-RDSAPG-1","Already Tagged","VM already has tag 'us_gms_plan_vm_7d_uat'"
"HOU-U-ADCAPG-2","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-ADCAPG-1","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-GMSAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-GMSDB-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-PSEAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-INTAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-ICCAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-GMSAP-02","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-MGTAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
"HOU-U-PCUAP-01","Tagged","Tag 'us_gms_plan_vm_7d_uat' applied successfully"
