ComputerName
HOU-U-RDSAPG-1
HOU-U-ADCAPG-2
HOU-U-ADCAPG-1
HOU-U-GMSAP-01
HOU-U-GMSDB-01
HOU-U-PSEAP-01
HOU-U-INTAP-01
HOU-U-ICCAP-01
HOU-U-GMSAP-02
HOU-U-MGTAP-01
HOU-U-PCUAP-01
